Order ID,Product Name,Category,Price,Discount (%),Quantity Sold,Total Sales,Purchase Date,Customer ID,Location
ORD0001,Bedsheet,Home & Kitchen,15612.85,5,3,44496.62,2025-01-22,CUST3723,Shahjahanpur
ORD0002,Football,Sports & Fitness,27499.43,15,4,93498.06,2024-05-07,CUST8889,Mau
ORD0003,Mixer Grinder,Home & Kitchen,31677.56,25,4,95032.68,2025-02-16,CUST3285,Bhiwandi
ORD0004,Smartphone,Electronics,42266.0,0,5,211330.0,2024-12-31,CUST5220,Amravati
ORD0005,Jacket,Fashion,31941.02,25,5,119778.82,2024-11-25,CUST9638,Muzaffarnagar
ORD0006,Lipstick,Beauty & Health,39411.54,5,2,74881.93,2024-09-04,CUST8258,Howrah
ORD0007,Treadmill,Sports & Fitness,15167.61,0,4,60670.44,2024-12-08,CUST1485,Hubli–Dharwad
ORD0008,Mixer Grinder,Home & Kitchen,10358.39,0,3,31075.17,2024-08-11,CUST6932,Korba
ORD0009,Smartwatch,Electronics,9722.61,25,4,29167.83,2024-04-15,CUST8668,Begusarai
ORD0010,T-shirt,Fashion,32399.73,10,2,58319.51,2024-06-18,CUST4278,Shimla
ORD0011,Smartphone,Electronics,26275.67,15,5,111671.6,2024-03-15,CUST1755,Vijayawada
ORD0012,Table Lamp,Home & Kitchen,31822.59,15,3,81147.6,2025-01-19,CUST3523,Alappuzha
ORD0013,Smartphone,Electronics,40035.33,10,2,72063.59,2024-04-19,CUST6282,Guna
ORD0014,Sunglasses,Fashion,45799.84,5,2,87019.7,2024-11-09,CUST9969,Hajipur
ORD0015,Shampoo,Beauty & Health,17064.97,0,4,68259.88,2024-12-16,CUST2542,Bhimavaram
ORD0016,Cookware Set,Home & Kitchen,22334.55,30,2,31268.37,2024-12-07,CUST4331,Mangalore
ORD0017,Jacket,Fashion,44468.43,25,2,66702.65,2024-12-30,CUST2258,Etawah
ORD0018,Tablet,Electronics,43578.29,20,4,139450.53,2024-05-27,CUST2780,Gulbarga
ORD0019,Treadmill,Sports & Fitness,47559.87,5,4,180727.51,2025-02-17,CUST7357,Rewa
ORD0020,Football,Sports & Fitness,34320.44,30,1,24024.31,2025-02-05,CUST9596,Bhilwara
ORD0021,Jeans,Fashion,30448.65,5,2,57852.43,2024-06-24,CUST2287,Chandigarh
ORD0022,Headphones,Electronics,10477.99,30,5,36672.96,2024-07-21,CUST1433,Begusarai
ORD0023,Jeans,Fashion,13676.16,25,4,41028.48,2024-12-27,CUST2590,Chapra
ORD0024,Headphones,Electronics,1543.91,5,2,2933.43,2025-01-16,CUST2667,Kumbakonam
ORD0025,Dumbbells,Sports & Fitness,41321.38,5,5,196276.55,2024-10-20,CUST4828,Orai
ORD0026,Shampoo,Beauty & Health,34185.93,0,3,102557.79,2024-09-26,CUST8619,Serampore
ORD0027,Hair Oil,Beauty & Health,22784.62,30,2,31898.47,2024-10-29,CUST5596,Imphal
ORD0028,Smartphone,Electronics,6780.49,20,3,16273.18,2024-07-30,CUST9263,Ulhasnagar
ORD0029,Dumbbells,Sports & Fitness,31414.28,0,2,62828.56,2024-03-26,CUST8163,Panipat
ORD0030,Bedsheet,Home & Kitchen,40960.09,15,5,174080.38,2024-07-23,CUST4417,Vadodara
ORD0031,Hair Oil,Beauty & Health,36165.18,5,1,34356.92,2024-04-17,CUST3235,Guntakal
ORD0032,Jeans,Fashion,45838.75,30,2,64174.25,2024-06-13,CUST9027,Faridabad
ORD0033,Jeans,Fashion,16849.04,5,5,80032.94,2025-02-27,CUST2082,Bhopal
